customerID,month,data_gb,call_minutes,monthly_charge,support_tickets,login_count,service_outages,churn_label,contract
0001-CURLL,1,10.98,156.7,68.54,0,20,0,1,One year
0001-CURLL,2,11.63,77.8,77.57,0,29,0,1,One year
0001-CURLL,3,12.96,204.8,70.96,0,31,0,1,One year
0001-CURLL,4,0.9,219.1,74.17,0,35,0,1,One year
0001-CURLL,5,16.49,160.0,89.67,0,28,0,1,One year
0001-CURLL,6,15.5,152.7,78.1,1,22,0,1,One year
0001-CURLL,7,8.2,211.5,59.75,0,39,0,1,One year
0001-CURLL,8,9.96,201.4,78.14,0,17,0,1,One year
0001-CURLL,9,10.13,138.1,79.1,0,30,0,1,One year
0001-CURLL,10,17.85,159.9,87.47,0,29,0,1,One year
0001-CURLL,11,7.78,110.6,89.51,0,22,0,1,One year
0001-CURLL,12,6.53,106.2,79.18,0,19,0,1,One year
0002-WCSFC,1,12.43,151.0,55.09,0,27,1,0,One year
0002-WCSFC,2,15.03,128.9,54.24,1,31,0,0,One year
0002-WCSFC,3,16.07,146.0,54.91,2,28,0,0,One year
0002-WCSFC,4,15.23,159.6,57.04,1,26,0,0,One year
0002-WCSFC,5,11.69,206.6,50.99,1,32,1,0,One year
0002-WCSFC,6,18.79,143.3,55.5,1,21,1,0,One year
0002-WCSFC,7,14.64,130.5,60.07,0,29,0,0,One year
0002-WCSFC,8,15.57,127.4,61.23,1,35,0,0,One year
0002-WCSFC,9,18.18,131.0,50.55,2,26,0,0,One year
0002-WCSFC,10,12.98,121.4,58.29,1,26,1,0,One year
0002-WCSFC,11,13.86,118.3,53.54,0,29,0,0,One year
0002-WCSFC,12,14.08,162.4,56.52,0,24,0,0,One year
0003-NZTTS,1,11.9,229.0,50.27,0,10,0,1,Two year
0003-NZTTS,2,8.34,160.6,64.29,1,45,0,1,Two year
0003-NZTTS,3,11.34,212.8,60.95,0,28,1,1,Two year
0003-NZTTS,4,9.96,216.0,60.55,0,44,0,1,Two year
0003-NZTTS,5,7.03,158.3,61.04,0,14,0,1,Two year
0003-NZTTS,6,13.92,146.5,55.53,0,29,1,1,Two year
0003-NZTTS,7,17.18,190.7,63.33,1,17,0,1,Two year
0003-NZTTS,8,1.94,139.2,60.99,1,40,0,1,Two year
0003-NZTTS,9,3.68,198.5,70.36,0,19,0,1,Two year
0003-NZTTS,10,7.89,214.6,63.37,0,29,0,1,Two year
0003-NZTTS,11,0.0,227.3,58.27,0,23,0,1,Two year
0003-NZTTS,12,20.35,173.1,67.39,3,37,0,1,Two year
0004-UNDVL,1,25.41,157.1,89.53,1,19,1,0,Month-to-month
0004-UNDVL,2,33.01,185.6,94.01,2,27,0,0,Month-to-month
0004-UNDVL,3,26.77,196.8,91.86,0,17,0,0,Month-to-month
0004-UNDVL,4,26.5,181.2,94.58,1,20,0,0,Month-to-month
